docstring,code,generated_comment
"Parses the query string of a URL and returns the value of a parameter.
 
  Args:
  url: A URL.
  param: A string representing the name of the parameter.
 
  Returns:
  The value of the parameter.","def foo(url, param):
  
 
  try:
  return parse.parse_qs(parse.urlparse(url).query)[param][0]
  except:
  return None","This function extracts the value of a specified query parameter from a given URL, returning `None` if the parameter isn't found."
"Gets the content of a URL via sending a HTTP GET request.
 
  Args:
  url: A URL.
  headers: Request headers used by the client.
  decoded: Whether decode the response body using UTF-8 or the charset specified in Content-Type.
 
  Returns:
  The content as a string.","def foo(url, headers={}, decoded=True):
  
 
  logging.debug('foo: %s' % url)
 
  req = request.Request(url, headers=headers)
  if cookies:
  cookies.add_cookie_header(req)
  req.headers.update(req.unredirected_hdrs)
 
  response = urlopen_with_retry(req)
  data = response.read()
 
  
  content_encoding = response.getheader('Content-Encoding')
  if content_encoding == 'gzip':
  data = ungzip(data)
  elif content_encoding == 'deflate':
  data = undeflate(data)
 
  
  if decoded:
  charset = match1(
  response.getheader('Content-Type', ''), r'charset=([\w-]+)'
  )
  if charset is not None:
  data = data.decode(charset, 'ignore')
  else:
  data = data.decode('utf-8', 'ignore')
 
  return data","This function retrieves content from a specified URL, optionally using cookies and headers, and decodes the data based on the content encoding and character set."
"Post the content of a URL via sending a HTTP POST request.
 
  Args:
  url: A URL.
  headers: Request headers used by the client.
  decoded: Whether decode the response body using UTF-8 or the charset specified in Content-Type.
 
  Returns:
  The content as a string.","def foo(url, headers={}, post_data={}, decoded=True, **kwargs):
  
  if kwargs.get('post_data_raw'):
  logging.debug('foo: %s\npost_data_raw: %s' % (url, kwargs['post_data_raw']))
  else:
  logging.debug('foo: %s\npost_data: %s' % (url, post_data))
 
  req = request.Request(url, headers=headers)
  if cookies:
  cookies.add_cookie_header(req)
  req.headers.update(req.unredirected_hdrs)
  if kwargs.get('post_data_raw'):
  post_data_enc = bytes(kwargs['post_data_raw'], 'utf-8')
  else:
  post_data_enc = bytes(parse.urlencode(post_data), 'utf-8')
  response = urlopen_with_retry(req, data=post_data_enc)
  data = response.read()
 
  
  content_encoding = response.getheader('Content-Encoding')
  if content_encoding == 'gzip':
  data = ungzip(data)
  elif content_encoding == 'deflate':
  data = undeflate(data)
 
  
  if decoded:
  charset = match1(
  response.getheader('Content-Type'), r'charset=([\w-]+)'
  )
  if charset is not None:
  data = data.decode(charset)
  else:
  data = data.decode('utf-8')
 
  return data","This function performs an HTTP request to a given URL with optional custom headers, POST data, handles cookie management, retries on fail, and decodes the response content."
Parses host name and port number from a string.,"def foo(host):
  
  if re.match(r'^(\d+)$', host) is not None:
  return (""0.0.0.0"", int(host))
  if re.match(r'^(\w+)://', host) is None:
  host = ""//"" + host
  o = parse.urlparse(host)
  hostname = o.hostname or ""0.0.0.0""
  port = o.port or 0
  return (hostname, port)",This function parses a host string to extract and return a tuple with the hostname and port number.
"Checks if a task is either queued or running in this executor
 
  :param task_instance: TaskInstance
  :return: True if the task is known to this executor","def foo(self, task_instance):
  
  if task_instance.key in self.queued_tasks or task_instance.key in self.running:
  return True","This function checks if a task is already in the queue or running, and returns True if it is."
"Returns and flush the event buffer. In case dag_ids is specified
  it will only return and flush events for the given dag_ids. Otherwise
  it returns and flushes all
 
  :param dag_ids: to dag_ids to return events for, if None returns all
  :return: a dict of events","def foo(self, dag_ids=None):
  
  cleared_events = dict()
  if dag_ids is None:
  cleared_events = self.event_buffer
  self.event_buffer = dict()
  else:
  for key in list(self.event_buffer.keys()):
  dag_id, _, _, _ = key
  if dag_id in dag_ids:
  cleared_events[key] = self.event_buffer.pop(key)
 
  return cleared_events","This function clears specific events from an event buffer, returning the cleared events as a dictionary, and resets the buffer either partially or entirely."
Returns a snowflake.connection object,"def foo(self):
  
  conn_config = self._get_conn_params()
  conn = snowflake.connector.connect(**conn_config)
  return conn",This function establishes a connection to a Snowflake database using provided connection parameters.
"returns aws_access_key_id, aws_secret_access_key
  from extra
 
  intended to be used by external import and export statements","def foo(self):
  
  if self.snowflake_conn_id:
  connection_object = self.get_connection(self.snowflake_conn_id)
  if 'aws_secret_access_key' in connection_object.extra_dejson:
  aws_access_key_id = connection_object.extra_dejson.get(
  'aws_access_key_id')
  aws_secret_access_key = connection_object.extra_dejson.get(
  'aws_secret_access_key')
  return aws_access_key_id, aws_secret_access_key","This function checks for a Snowflake connection ID, retrieves connection details, and returns AWS credentials if available."
"Fetches a field from extras, and returns it. This is some Airflow
  magic. The grpc hook type adds custom UI elements
  to the hook page, which allow admins to specify scopes, credential pem files, etc.
  They get formatted as shown below.","def foo(self, field_name, default=None):
  
  full_field_name = 'extra__grpc__{}'.format(field_name)
  if full_field_name in self.extras:
  return self.extras[full_field_name]
  else:
  return default","This function retrieves a named field from a dictionary, with optional namespacing and a default return value if the field is not found."
"Executes SQL using psycopg2 copy_expert method.
  Necessary to execute COPY command without access to a superuser.
 
  Note: if this method is called with a ""COPY FROM"" statement and
  the specified input file does not exist, it creates an empty
  file and no data is loaded, but the operation succeeds.
  So if users want to be aware when the input file does not exist,
  they have to check its existence by themselves.","def foo(self, sql, filename, open=open):
  
  if not os.path.isfile(filename):
  with open(filename, 'w'):
  pass
 
  with open(filename, 'r+') as f:
  with closing(self.get_conn()) as conn:
  with closing(conn.cursor()) as cur:
  cur.copy_expert(sql, f)
  f.truncate(f.tell())
  conn.commit()","This function checks if a file exists, creates it if not, runs a SQL copy command, and writes the results to the file, ensuring transactional integrity."
Dumps a database table into a tab-delimited file,"def foo(self, table, tmp_file):
  
  self.copy_expert(""COPY {table} TO STDOUT"".format(table=table), tmp_file)",This function uses a PostgreSQL COPY command to export data from a specified table into a file.
Uploads the file to Google cloud storage,"def foo(self, context):
  
  hook = GoogleCloudStorageHook(
  google_cloud_storage_conn_id=self.google_cloud_storage_conn_id,
  delegate_to=self.delegate_to)
 
  hook.upload(
  bucket_name=self.bucket,
  object_name=self.dst,
  mime_type=self.mime_type,
  filename=self.src,
  gzip=self.gzip,
  )",This function initializes a Google Cloud Storage hook and uploads a file to a specified bucket with given parameters such as MIME type and compression.
"Gets the max partition for a table.
 
  :param schema: The hive schema the table lives in
  :type schema: str
  :param table: The hive table you are interested in, supports the dot
  notation as in ""my_database.my_table"", if a dot is found,
  the schema param is disregarded
  :type table: str
  :param metastore_conn_id: The hive connection you are interested in.
  If your default is set you don't need to use this parameter.
  :type metastore_conn_id: str
  :param filter_map: partition_key:partition_value map used for partition filtering,
  e.g. {'key1': 'value1', 'key2': 'value2'}.
  Only partitions matching all partition_key:partition_value
  pairs will be considered as candidates of max partition.
  :type filter_map: map
  :param field: the field to get the max value from. If there's only
  one partition field, this will be inferred
  :type field: str
 
  >>> max_partition('airflow.static_babynames_partitioned')
  '2015-01-01'","def foo(
  table, schema=""default"", field=None, filter_map=None,
  metastore_conn_id='metastore_default'):
  
  from airflow.hooks.hive_hooks import HiveMetastoreHook
  if '.' in table:
  schema, table = table.split('.')
  hh = HiveMetastoreHook(metastore_conn_id=metastore_conn_id)
  return hh.foo(
  schema=schema, table_name=table, field=field, filter_map=filter_map)","This function interacts with a Hive metastore to retrieve metadata about a given table, optionally filtered by specific criteria."
Returns a mysql connection object,"def foo(self):
  
  conn = self.get_connection(self.mysql_conn_id)
  conn_config = {
  ""user"": conn.login,
  ""passwd"": conn.password or '',
  ""host"": conn.host or 'localhost',
  ""db"": self.schema or conn.schema or ''
  }
 
  if not conn.port:
  conn_config[""port""] = 3306
  else:
  conn_config[""port""] = int(conn.port)
 
  if conn.extra_dejson.get('charset', False):
  conn_config[""charset""] = conn.extra_dejson[""charset""]
  if (conn_config[""charset""]).lower() == 'utf8' or\
  (conn_config[""charset""]).lower() == 'utf-8':
  conn_config[""use_unicode""] = True
  if conn.extra_dejson.get('cursor', False):
  if (conn.extra_dejson[""cursor""]).lower() == 'sscursor':
  conn_config[""cursorclass""] = MySQLdb.cursors.SSCursor
  elif (conn.extra_dejson[""cursor""]).lower() == 'dictcursor':
  conn_config[""cursorclass""] = MySQLdb.cursors.DictCursor
  elif (conn.extra_dejson[""cursor""]).lower() == 'ssdictcursor':
  conn_config[""cursorclass""] = MySQLdb.cursors.SSDictCursor
  local_infile = conn.extra_dejson.get('local_infile', False)
  if conn.extra_dejson.get('ssl', False):
  
  
  
  dejson_ssl = conn.extra_dejson['ssl']
  if isinstance(dejson_ssl, six.string_types):
  dejson_ssl = json.loads(dejson_ssl)
  conn_config['ssl'] = dejson_ssl
  if conn.extra_dejson.get('unix_socket'):
  conn_config['unix_socket'] = conn.extra_dejson['unix_socket']
  if local_infile:
  conn_config[""local_infile""] = 1
  conn = MySQLdb.connect(**conn_config)
  return conn","This function establishes a MySQL database connection using configuration parameters, supports SSL connections, and sets cursor behavior based on specified options."
"Returns the state of a TaskInstance at the command line.
  >>> airflow task_state tutorial sleep 2015-01-01
  success","def foo(args):
  
  dag = get_dag(args)
  task = dag.get_task(task_id=args.task_id)
  ti = TaskInstance(task, args.execution_date)
  print(ti.current_state())",This function retrieves the current state of a specific task instance within an Apache Airflow DAG on a given execution date and prints it.
"Retrieves connection to Cloud Translate
 
  :return: Google Cloud Translate client object.
  :rtype: Client","def foo(self):
  
  if not self._client:
  self._client = Client(credentials=self._get_credentials())
  return self._client",This function lazily initializes and returns a client object using provided credentials if it hasn't been created yet.
"Translate a string or list of strings.
 
  See https://cloud.google.com/translate/docs/translating-text
 
  :type values: str or list
  :param values: String or list of strings to translate.
 
  :type target_language: str
  :param target_language: The language to translate results into. This
  is required by the API and defaults to
  the target language of the current instance.
 
  :type format_: str
  :param format_: (Optional) One of ``text`` or ``html``, to specify
  if the input text is plain text or HTML.
 
  :type source_language: str or None
  :param source_language: (Optional) The language of the text to
  be translated.
 
  :type model: str or None
  :param model: (Optional) The model used to translate the text, such
  as ``'base'`` or ``'nmt'``.
 
  :rtype: str or list
  :returns: A list of dictionaries for each queried value. Each
  dictionary typically contains three keys (though not
  all will be present in all cases)
 
  * ``detectedSourceLanguage``: The detected language (as an
  ISO 639-1 language code) of the text.
  * ``translatedText``: The translation of the text into the
  target language.
  * ``input``: The corresponding input value.
  * ``model``: The model used to translate the text.
 
  If only a single value is passed, then only a single
  dictionary will be returned.
  :raises: :class:`~exceptions.ValueError` if the number of
  values and translations differ.","def foo(
  self, values, target_language, format_=None, source_language=None, model=None
  ):
  
  client = self.get_conn()
 
  return client.translate(
  values=values,
  target_language=target_language,
  format_=format_,
  source_language=source_language,
  model=model,
  )",This function interfaces with a translation service client to return translations of provided values in the specified target language.
"Retrieves a resource containing information about a Cloud SQL instance.
 
  :param instance: Database instance ID. This does not include the project ID.
  :type instance: str
  :param project_id: Project ID of the project that contains the instance. If set
  to None or missing, the default project_id from the GCP connection is used.
  :type project_id: str
  :return: A Cloud SQL instance resource.
  :rtype: dict","def foo(self, instance, project_id=None):
  
  return self.get_conn().instances().get(
  project=project_id,
  instance=instance
  ).execute(num_retries=self.num_retries)",This function retrieves metadata for a specified database instance within a Google Cloud project using the project's API connection.
"Creates a new Cloud SQL instance.
 
  :param body: Body required by the Cloud SQL insert API, as described in
  https://cloud.google.com/sql/docs/mysql/admin-api/v1beta4/instances/insert#request-body.
  :type body: dict
  :param project_id: Project ID of the project that contains the instance. If set
  to None or missing, the default project_id from the GCP connection is used.
  :type project_id: str
  :return: None","def foo(self, body, project_id=None):
  
  response = self.get_conn().instances().insert(
  project=project_id,
  body=body
  ).execute(num_retries=self.num_retries)
  operation_name = response[""name""]
  self._wait_for_operation_to_complete(project_id=project_id,
  operation_name=operation_name)","This function creates a new instance on a cloud platform, waits for the operation to complete, and handles retries if necessary."
"Updates settings of a Cloud SQL instance.
 
  Caution: This is not a partial update, so you must include values for
  all the settings that you want to retain.
 
  :param body: Body required by the Cloud SQL patch API, as described in
  https://cloud.google.com/sql/docs/mysql/admin-api/v1beta4/instances/patch#request-body.
  :type body: dict
  :param instance: Cloud SQL instance ID. This does not include the project ID.
  :type instance: str
  :param project_id: Project ID of the project that contains the instance. If set
  to None or missing, the default project_id from the GCP connection is used.
  :type project_id: str
  :return: None","def foo(self, body, instance, project_id=None):
  
  response = self.get_conn().instances().patch(
  project=project_id,
  instance=instance,
  body=body
  ).execute(num_retries=self.num_retries)
  operation_name = response[""name""]
  self._wait_for_operation_to_complete(project_id=project_id,
  operation_name=operation_name)",This function updates an instance using a PATCH request and waits for the operation to complete before returning.
"Deletes a Cloud SQL instance.
 
  :param project_id: Project ID of the project that contains the instance. If set
  to None or missing, the default project_id from the GCP connection is used.
  :type project_id: str
  :param instance: Cloud SQL instance ID. This does not include the project ID.
  :type instance: str
  :return: None","def foo(self, instance, project_id=None):
  
  response = self.get_conn().instances().delete(
  project=project_id,
  instance=instance,
  ).execute(num_retries=self.num_retries)
  operation_name = response[""name""]
  self._wait_for_operation_to_complete(project_id=project_id,
  operation_name=operation_name)",This function deletes a cloud instance and waits for the deletion operation to complete before proceeding.
"Retrieves a database resource from a Cloud SQL instance.
 
  :param instance: Database instance ID. This does not include the project ID.
  :type instance: str
  :param database: Name of the database in the instance.
  :type database: str
  :param project_id: Project ID of the project that contains the instance. If set
  to None or missing, the default project_id from the GCP connection is used.
  :type project_id: str
  :return: A Cloud SQL database resource, as described in
  https://cloud.google.com/sql/docs/mysql/admin-api/v1beta4/databases#resource.
  :rtype: dict","def foo(self, instance, database, project_id=None):
  
  return self.get_conn().databases().get(
  project=project_id,
  instance=instance,
  database=database
  ).execute(num_retries=self.num_retries)",This function retrieves a specific database configuration from a cloud service by calling an API and returns the response.
"Creates a new database inside a Cloud SQL instance.
 
  :param instance: Database instance ID. This does not include the project ID.
  :type instance: str
  :param body: The request body, as described in
  https://cloud.google.com/sql/docs/mysql/admin-api/v1beta4/databases/insert#request-body.
  :type body: dict
  :param project_id: Project ID of the project that contains the instance. If set
  to None or missing, the default project_id from the GCP connection is used.
  :type project_id: str
  :return: None","def foo(self, instance, body, project_id=None):
  
  response = self.get_conn().databases().insert(
  project=project_id,
  instance=instance,
  body=body
  ).execute(num_retries=self.num_retries)
  operation_name = response[""name""]
  self._wait_for_operation_to_complete(project_id=project_id,
  operation_name=operation_name)",This function inserts a new database into a Cloud SQL instance and waits until the insert operation completes.
"Updates a database resource inside a Cloud SQL instance.
 
  This method supports patch semantics.
  See https://cloud.google.com/sql/docs/mysql/admin-api/how-tos/performance#patch.
 
  :param instance: Database instance ID. This does not include the project ID.
  :type instance: str
  :param database: Name of the database to be updated in the instance.
  :type database: str
  :param body: The request body, as described in
  https://cloud.google.com/sql/docs/mysql/admin-api/v1beta4/databases/insert#request-body.
  :type body: dict
  :param project_id: Project ID of the project that contains the instance. If set
  to None or missing, the default project_id from the GCP connection is used.
  :type project_id: str
  :return: None","def foo(self, instance, database, body, project_id=None):
  
  response = self.get_conn().databases().patch(
  project=project_id,
  instance=instance,
  database=database,
  body=body
  ).execute(num_retries=self.num_retries)
  operation_name = response[""name""]
  self._wait_for_operation_to_complete(project_id=project_id,
  operation_name=operation_name)",This function updates a database entry using a patch request and waits for the operation to complete before returning.
"Deletes a database from a Cloud SQL instance.
 
  :param instance: Database instance ID. This does not include the project ID.
  :type instance: str
  :param database: Name of the database to be deleted in the instance.
  :type database: str
  :param project_id: Project ID of the project that contains the instance. If set
  to None or missing, the default project_id from the GCP connection is used.
  :type project_id: str
  :return: None","def foo(self, instance, database, project_id=None):
  
  response = self.get_conn().databases().delete(
  project=project_id,
  instance=instance,
  database=database
  ).execute(num_retries=self.num_retries)
  operation_name = response[""name""]
  self._wait_for_operation_to_complete(project_id=project_id,
  operation_name=operation_name)","This function deletes a database from a cloud instance and waits until the operation completes.
"
"Exports data from a Cloud SQL instance to a Cloud Storage bucket as a SQL dump
  or CSV file.
 
  :param instance: Database instance ID of the Cloud SQL instance. This does not include the
  project ID.
  :type instance: str
  :param body: The request body, as described in
  https://cloud.google.com/sql/docs/mysql/admin-api/v1beta4/instances/export#request-body
  :type body: dict
  :param project_id: Project ID of the project that contains the instance. If set
  to None or missing, the default project_id from the GCP connection is used.
  :type project_id: str
  :return: None","def foo(self, instance, body, project_id=None):
  
  try:
  response = self.get_conn().instances().export(
  project=project_id,
  instance=instance,
  body=body
  ).execute(num_retries=self.num_retries)
  operation_name = response[""name""]
  self._wait_for_operation_to_complete(project_id=project_id,
  operation_name=operation_name)
  except HttpError as ex:
  raise AirflowException(
  'Exporting instance {} failed: {}'.format(instance, ex.content)
  )","This function exports a database instance, waits for the operation to complete, and handles any resulting HTTP errors."
"Starts Cloud SQL Proxy.
 
  You have to remember to stop the proxy if you started it!","def foo(self):
  
  self._download_sql_proxy_if_needed()
  if self.sql_proxy_process:
  raise AirflowException(""The sql proxy is already running: {}"".format(
  self.sql_proxy_process))
  else:
  command_to_run = [self.sql_proxy_path]
  command_to_run.extend(self.command_line_parameters)
  try:
  self.log.info(""Creating directory %s"",
  self.cloud_sql_proxy_socket_directory)
  os.makedirs(self.cloud_sql_proxy_socket_directory)
  except OSError:
  
  pass
  command_to_run.extend(self._get_credential_parameters())
  self.log.info(""Running the command: `%s`"", "" "".join(command_to_run))
  self.sql_proxy_process = Popen(command_to_run,
  stdin=PIPE, stdout=PIPE, stderr=PIPE)
  self.log.info(""The pid of cloud_sql_proxy: %s"", self.sql_proxy_process.pid)
  while True:
  line = self.sql_proxy_process.stderr.readline().decode('utf-8')
  return_code = self.sql_proxy_process.poll()
  if line == '' and return_code is not None:
  self.sql_proxy_process = None
  raise AirflowException(
  ""The cloud_sql_proxy finished early with return code {}!"".format(
  return_code))
  if line != '':
  self.log.info(line)
  if ""googleapi: Error"" in line or ""invalid instance name:"" in line:
  self.stop_proxy()
  raise AirflowException(
  ""Error when starting the cloud_sql_proxy {}!"".format(
  line))
  if ""Ready for new connections"" in line:
  return","This function manages the startup of a SQL proxy, checks if it's already running, creates necessary directories, and logs the proxy's output until it's ready for new connections."
"Stops running proxy.
 
  You should stop the proxy after you stop using it.","def foo(self):
  
  if not self.sql_proxy_process:
  raise AirflowException(""The sql proxy is not started yet"")
  else:
  self.log.info(""Stopping the cloud_sql_proxy pid: %s"",
  self.sql_proxy_process.pid)
  self.sql_proxy_process.kill()
  self.sql_proxy_process = None
  
  self.log.info(""Removing the socket directory: %s"",
  self.cloud_sql_proxy_socket_directory)
  shutil.rmtree(self.cloud_sql_proxy_socket_directory, ignore_errors=True)
  if self.sql_proxy_was_downloaded:
  self.log.info(""Removing downloaded proxy: %s"", self.sql_proxy_path)
  
  try:
  os.remove(self.sql_proxy_path)
  except OSError as e:
  if not e.errno == errno.ENOENT:
  raise
  else:
  self.log.info(""Skipped removing proxy - it was not downloaded: %s"",
  self.sql_proxy_path)
  if os.path.isfile(self.credentials_path):
  self.log.info(""Removing generated credentials file %s"",
  self.credentials_path)
  
  os.remove(self.credentials_path)","This function terminates an SQL proxy process, cleans up related directories and files, and handles potential errors during removal."
Returns version of the Cloud SQL Proxy.,"def foo(self):
  
  self._download_sql_proxy_if_needed()
  command_to_run = [self.sql_proxy_path]
  command_to_run.extend(['--version'])
  command_to_run.extend(self._get_credential_parameters())
  result = subprocess.check_output(command_to_run).decode('utf-8')
  pattern = re.compile(""^.*[V|v]ersion ([^;]*);.*$"")
  m = pattern.match(result)
  if m:
  return m.group(1)
  else:
  return None",This function checks the version of an SQL proxy by executing a command and parsing the output with a regex pattern.
"Create connection in the Connection table, according to whether it uses
  proxy, TCP, UNIX sockets, SSL. Connection ID will be randomly generated.
 
  :param session: Session of the SQL Alchemy ORM (automatically generated with
  decorator).","def foo(self, session=None):
  
  connection = Connection(conn_id=self.db_conn_id)
  uri = self._generate_connection_uri()
  self.log.info(""Creating connection %s"", self.db_conn_id)
  connection.parse_from_uri(uri)
  session.add(connection)
  session.commit()","This function establishes a database connection using a predefined connection ID, logs this event, and commits the new connection to the session."
"Retrieves the dynamically created connection from the Connection table.
 
  :param session: Session of the SQL Alchemy ORM (automatically generated with
  decorator).","def foo(self, session=None):
  
  self.log.info(""Retrieving connection %s"", self.db_conn_id)
  connections = session.query(Connection).filter(
  Connection.conn_id == self.db_conn_id)
  if connections.count():
  return connections[0]
  return None","This function retrieves the first database connection with a specific ID from the provided session if available, or returns None otherwise."
